iter	Accuracy	Logloss
0	0.8179551122	0.6583922156
1	0.812967581	0.635794521
2	0.812967581	0.6154010117
3	0.812967581	0.6018995386
4	0.812967581	0.5830859182
5	0.812967581	0.5646596335
6	0.8117206983	0.5510658542
7	0.8117206983	0.5417247823
8	0.8042394015	0.5302826843
9	0.8004987531	0.5241715442
10	0.8017456359	0.5124889319
11	0.8142144638	0.5016200922
12	0.8142144638	0.4952965189
13	0.8029925187	0.4896478345
14	0.8029925187	0.4839923873
15	0.8142144638	0.4759219993
16	0.8179551122	0.4693985232
17	0.8179551122	0.4642116231
18	0.819201995	0.4575711296
19	0.8179551122	0.4554454031
20	0.819201995	0.451869813
21	0.819201995	0.4456131552
22	0.8229426434	0.4390598992
23	0.825436409	0.4337810372
24	0.8279301746	0.429608539
25	0.8316708229	0.4258387273
26	0.8341645885	0.4244414734
27	0.8366583541	0.4199185531
28	0.8354114713	0.4173513918
29	0.8354114713	0.4143272689
30	0.8379052369	0.4115061339
31	0.8416458853	0.4085399213
32	0.8441396509	0.4067802737
33	0.8453865337	0.4017323603
34	0.8453865337	0.3973076323
35	0.8478802993	0.3956787792
36	0.849127182	0.3930851872
37	0.8466334165	0.3917662712
38	0.8466334165	0.3879364263
39	0.8466334165	0.3864846937
40	0.8466334165	0.3851111853
41	0.8453865337	0.384261538
42	0.8453865337	0.3814940569
43	0.8466334165	0.3778088538
44	0.8466334165	0.3776048482
45	0.8453865337	0.3758139391
46	0.849127182	0.3740924615
47	0.8503740648	0.3733880074
48	0.8516209476	0.3723417981
49	0.8516209476	0.3715067482
50	0.8516209476	0.3710316098
51	0.8503740648	0.3703591456
52	0.8516209476	0.3691370013
53	0.8541147132	0.3684054374
54	0.8591022444	0.3674733422
55	0.8578553616	0.3660417979
56	0.8591022444	0.365659452
57	0.8628428928	0.3638597477
58	0.8640897756	0.3631709814
59	0.8640897756	0.3604731783
60	0.8665835411	0.3590531879
61	0.8678304239	0.3581845924
62	0.8653366584	0.3569716116
63	0.8653366584	0.3568832674
64	0.8678304239	0.3562978777
65	0.8678304239	0.3537731608
66	0.8678304239	0.352751764
67	0.8665835411	0.3525864332
68	0.8678304239	0.3511460782
69	0.8678304239	0.3501752049
70	0.8703241895	0.3483927977
71	0.8678304239	0.3474238298
72	0.8690773067	0.3466471563
73	0.8703241895	0.346508592
74	0.8690773067	0.3461966648
75	0.8703241895	0.3457085891
76	0.8678304239	0.3444127049
77	0.8690773067	0.3439475539
78	0.8690773067	0.3437399651
79	0.8690773067	0.3432720884
80	0.8703241895	0.3427623748
81	0.8703241895	0.341496503
82	0.8715710723	0.3406395515
83	0.8728179551	0.3395656982
84	0.8728179551	0.3395277141
85	0.8715710723	0.3390694429
86	0.8728179551	0.3383471114
87	0.8728179551	0.33729164
88	0.8728179551	0.3364593561
89	0.8753117207	0.3361976512
90	0.8753117207	0.3358422132
91	0.8753117207	0.3356323264
92	0.8740648379	0.3344765415
93	0.8728179551	0.3331273147
94	0.8740648379	0.3326651253
95	0.8728179551	0.3316897975
96	0.8728179551	0.3312427515
97	0.8728179551	0.3309596601
98	0.8740648379	0.330796801
99	0.8765586035	0.3298570998
100	0.8765586035	0.3294961548
101	0.8765586035	0.3285303618
102	0.8778054863	0.3283764758
103	0.8778054863	0.3269876535
104	0.8778054863	0.3258011399
105	0.8790523691	0.3249948761
106	0.8790523691	0.3249228158
107	0.8802992519	0.3244619626
108	0.8790523691	0.324226031
109	0.8802992519	0.3234068194
110	0.8790523691	0.3225266896
111	0.8765586035	0.3214625622
112	0.8778054863	0.3210300305
113	0.8778054863	0.3210203286
114	0.8790523691	0.3206594584
115	0.8778054863	0.3202079961
116	0.8778054863	0.3202079927
117	0.8790523691	0.319255019
118	0.8790523691	0.3187746557
119	0.8827930175	0.3171187415
120	0.8815461347	0.3162523316
121	0.8815461347	0.314991298
122	0.8815461347	0.3147121234
123	0.8815461347	0.3140278343
124	0.8840399002	0.3123778405
125	0.8840399002	0.3120409908
126	0.885286783	0.3108182457
127	0.885286783	0.3103030355
128	0.885286783	0.3091725768
129	0.8865336658	0.3085892415
130	0.8865336658	0.3077703161
131	0.8877805486	0.3069714951
132	0.8902743142	0.3061560598
133	0.891521197	0.3044058747
134	0.891521197	0.3039361883
135	0.891521197	0.3038966699
136	0.891521197	0.3033700364
137	0.891521197	0.302642187
138	0.8927680798	0.3019020891
139	0.891521197	0.3009852388
140	0.8927680798	0.3001260178
141	0.891521197	0.2996858121
142	0.8902743142	0.2989656191
143	0.8902743142	0.2984715337
144	0.891521197	0.2967909055
145	0.891521197	0.2967541809
146	0.8927680798	0.2953299701
147	0.8927680798	0.2953126567
148	0.8927680798	0.2945386907
149	0.891521197	0.2935994848
150	0.891521197	0.2925857238
151	0.8927680798	0.2920671851
152	0.891521197	0.2912786877
153	0.8927680798	0.2906556705
154	0.8927680798	0.2903976257
155	0.8952618454	0.2899354471
156	0.8952618454	0.2899016263
157	0.8965087282	0.2884073741
158	0.8965087282	0.2877566462
159	0.8965087282	0.2869314559
160	0.897755611	0.2864436706
161	0.897755611	0.2862421126
162	0.897755611	0.285317584
163	0.8990024938	0.2841914781
164	0.9002493766	0.283971281
165	0.9027431421	0.2832626026
166	0.9027431421	0.2823671379
167	0.9014962594	0.2817521017
168	0.8990024938	0.2802648435
169	0.8990024938	0.2797965912
170	0.8990024938	0.2796679911
171	0.9002493766	0.2789363561
172	0.9002493766	0.278666713
173	0.9014962594	0.2777476571
174	0.9002493766	0.2773500197
175	0.9014962594	0.2763114177
176	0.9027431421	0.2760918731
177	0.9052369077	0.2745450027
178	0.9064837905	0.2739611996
179	0.9077306733	0.2735983785
180	0.9064837905	0.272260607
181	0.9039900249	0.2710876352
182	0.9052369077	0.269951427
183	0.9052369077	0.2695528751
184	0.9052369077	0.2688634728
185	0.9077306733	0.2682219297
186	0.9077306733	0.2676825027
187	0.9089775561	0.2668936785
188	0.9089775561	0.2667228527
189	0.9114713217	0.2647198409
190	0.9102244389	0.2642026011
191	0.9102244389	0.2632135701
192	0.9102244389	0.2625171238
193	0.9127182045	0.2616370298
194	0.9127182045	0.2614627054
195	0.9127182045	0.2609779582
196	0.9127182045	0.2608295926
197	0.9164588529	0.2597595561
198	0.9177057357	0.2585719316
199	0.9189526185	0.2576611702
200	0.9189526185	0.2573811833
201	0.9189526185	0.2571706544
202	0.9189526185	0.2567949219
203	0.9201995012	0.2561687828
204	0.9201995012	0.2559120082
205	0.9201995012	0.2556849808
206	0.9201995012	0.2549479695
207	0.9226932668	0.2540940627
208	0.9239401496	0.2529747259
209	0.9239401496	0.2525961659
210	0.9239401496	0.2519374876
