iter	Passed	Remaining
412	3682	777
413	3687	767
414	3693	758
415	3699	748
416	3706	739
417	3711	729
418	3717	720
419	3723	710
420	3728	701
421	3734	691
422	3739	682
423	3745	672
424	3750	663
425	3756	654
426	3762	644
427	3767	635
428	3773	625
429	3778	616
430	3784	607
431	3790	597
432	3795	588
433	3801	579
434	3808	570
435	3813	561
436	3820	552
437	3826	542
438	3832	533
439	3838	524
440	3844	515
441	3850	506
442	3856	497
443	3862	488
444	3868	479
445	3875	470
446	3881	461
447	3887	452
448	3893	443
449	3899	434
450	3906	425
451	3912	416
452	3919	407
453	3925	398
454	3931	389
455	3938	380
456	3944	371
457	3950	363
458	3956	354
459	3963	345
460	3969	336
461	3975	327
462	3981	318
463	3987	310
464	3993	301
465	3999	292
466	4005	283
467	4011	274
468	4016	266
469	4022	257
470	4028	248
471	4034	239
472	4040	231
473	4045	222
474	4051	213
475	4057	204
476	4062	196
477	4068	187
478	4073	178
479	4079	170
480	4085	161
481	4090	153
482	4095	144
483	4101	135
484	4107	127
485	4113	118
486	4119	110
487	4124	101
488	4129	93
489	4135	84
490	4141	76
491	4146	67
492	4152	59
493	4158	50
494	4163	42
495	4169	33
496	4175	25
497	4180	16
498	4186	8
499	4191	0
