iter	Accuracy	Logloss
0	0.8179551122	0.6598998081
1	0.8154613466	0.6369359502
2	0.8104738155	0.6162998458
3	0.8067331671	0.6023960878
4	0.8092269327	0.583366889
5	0.8104738155	0.5655105328
6	0.8079800499	0.5515641742
7	0.8117206983	0.5365810275
8	0.812967581	0.5230884078
9	0.8117206983	0.5119709475
10	0.8104738155	0.5051631803
11	0.8104738155	0.4957462837
12	0.8104738155	0.4901866994
13	0.8117206983	0.4804189915
14	0.8104738155	0.4722756141
15	0.8142144638	0.468442971
16	0.8104738155	0.4655854658
17	0.812967581	0.4567118842
18	0.8167082294	0.4518036302
19	0.8179551122	0.4464620657
20	0.8179551122	0.4453970622
21	0.8216957606	0.4399892762
22	0.8204488778	0.4316959208
23	0.8241895262	0.4277548667
24	0.8266832918	0.4258313494
25	0.8304239401	0.4225702196
26	0.8354114713	0.4168633988
27	0.8379052369	0.4124768178
28	0.8416458853	0.4073524991
29	0.8503740648	0.4046369243
30	0.855361596	0.401264258
31	0.8541147132	0.3986830735
32	0.855361596	0.3952386202
33	0.8603491272	0.3918736134
34	0.8578553616	0.3900748066
35	0.86159601	0.3879422664
36	0.8665835411	0.38501699
37	0.8653366584	0.381870033
38	0.8653366584	0.3799177201
39	0.8653366584	0.3778834348
40	0.8653366584	0.3769520364
41	0.8653366584	0.3755309323
42	0.8665835411	0.3742416631
43	0.8665835411	0.373146195
44	0.8678304239	0.3704649649
45	0.8703241895	0.3691579232
46	0.8703241895	0.3674181327
47	0.8678304239	0.3656852601
48	0.8678304239	0.3651365842
49	0.8678304239	0.3650686153
50	0.8678304239	0.3636963835
51	0.8665835411	0.3615360622
52	0.8678304239	0.3596933701
53	0.8678304239	0.3588559354
54	0.8690773067	0.3579082281
55	0.8690773067	0.3565890671
56	0.8690773067	0.355641718
57	0.8703241895	0.3550579782
58	0.8703241895	0.3542746406
59	0.8703241895	0.3534244915
60	0.8703241895	0.352373935
61	0.8703241895	0.3516929141
62	0.8703241895	0.351550286
63	0.8715710723	0.3494787937
64	0.8715710723	0.348597292
65	0.8715710723	0.3473893772
66	0.8715710723	0.3465102049
67	0.8715710723	0.3461716019
68	0.8728179551	0.3445803683
69	0.8728179551	0.3441938691
70	0.8728179551	0.342173457
71	0.8740648379	0.3417890731
72	0.8740648379	0.3407421791
73	0.8753117207	0.3401575162
74	0.8753117207	0.3397580613
75	0.8753117207	0.3392207702
76	0.8753117207	0.3377346413
77	0.8753117207	0.3376797801
78	0.8778054863	0.3362687026
79	0.8778054863	0.3352578666
80	0.8778054863	0.3346009023
81	0.8790523691	0.334256606
82	0.8790523691	0.3342355244
83	0.8802992519	0.3334285388
84	0.8815461347	0.3312425651
85	0.8815461347	0.3308557655
86	0.8815461347	0.3308135446
87	0.8790523691	0.3298169541
88	0.8802992519	0.3292998299
89	0.8790523691	0.32907907
90	0.8802992519	0.3278157022
91	0.8802992519	0.3272681475
92	0.8815461347	0.326528975
93	0.8815461347	0.3258680289
94	0.8815461347	0.3257816745
95	0.8815461347	0.3254274243
96	0.8802992519	0.3247888942
97	0.8815461347	0.3241230522
98	0.8827930175	0.3224029948
99	0.8827930175	0.3207194718
100	0.8827930175	0.3204232282
101	0.8827930175	0.3202651219
102	0.8840399002	0.3186238002
103	0.8840399002	0.3185554443
104	0.8840399002	0.3184895148
105	0.8840399002	0.3181510151
106	0.8840399002	0.3177532288
107	0.8840399002	0.317378818
108	0.8840399002	0.3163635502
109	0.885286783	0.3155534036
110	0.885286783	0.3151255059
111	0.885286783	0.3148346838
112	0.885286783	0.3147637961
113	0.885286783	0.3147260479
114	0.885286783	0.3142818177
115	0.885286783	0.3140526462
116	0.885286783	0.3140420949
117	0.885286783	0.3139371257
118	0.885286783	0.3138134841
119	0.885286783	0.3133702358
120	0.885286783	0.3133452752
121	0.885286783	0.3131936431
122	0.885286783	0.3127316691
123	0.885286783	0.3127251353
124	0.8865336658	0.311549016
125	0.8865336658	0.3114430861
126	0.8877805486	0.310459667
127	0.8865336658	0.3099312941
128	0.8865336658	0.3090106789
129	0.8865336658	0.3088919881
130	0.8865336658	0.3088079108
131	0.8865336658	0.3086523394
132	0.8865336658	0.3086159674
133	0.8865336658	0.3083434127
134	0.8865336658	0.3069839935
135	0.8877805486	0.3066853441
136	0.8877805486	0.3062838051
137	0.8877805486	0.3061935693
138	0.8877805486	0.3056033224
139	0.8890274314	0.3054297884
140	0.8890274314	0.3053686454
141	0.8890274314	0.3050657572
142	0.8890274314	0.3045108024
143	0.8890274314	0.3040547621
144	0.8890274314	0.3033937898
145	0.8902743142	0.3018139502
146	0.8940149626	0.3007556136
147	0.8940149626	0.3003451541
148	0.8940149626	0.3000802774
149	0.8940149626	0.3000521775
150	0.8940149626	0.3000383998
151	0.8940149626	0.2999986018
152	0.8927680798	0.299359161
153	0.8940149626	0.2990691696
154	0.8940149626	0.2988134394
155	0.8940149626	0.2974939679
156	0.8940149626	0.2973066702
157	0.8940149626	0.2972829053
158	0.8940149626	0.2970027713
159	0.8940149626	0.2962033786
160	0.8940149626	0.2960112804
161	0.897755611	0.2942751292
162	0.897755611	0.2941613556
163	0.8965087282	0.2937492202
164	0.8965087282	0.2929346818
165	0.8990024938	0.292449691
166	0.8990024938	0.2906290343
167	0.8990024938	0.2903413954
168	0.897755611	0.2900022834
169	0.9002493766	0.2885216795
170	0.9002493766	0.2882761777
171	0.9002493766	0.288090194
172	0.9039900249	0.287552642
173	0.9014962594	0.2871304257
174	0.9014962594	0.286879986
175	0.9014962594	0.2862502487
176	0.9014962594	0.2860821161
177	0.9014962594	0.2850652182
178	0.9014962594	0.2847637566
179	0.9014962594	0.2841400701
180	0.9014962594	0.2838084979
181	0.9014962594	0.2834595673
182	0.9014962594	0.2830014848
183	0.9014962594	0.2828884147
184	0.9014962594	0.282685111
185	0.9014962594	0.2826274225
186	0.9014962594	0.2824483586
187	0.9014962594	0.2823699407
188	0.9014962594	0.282049414
189	0.9027431421	0.2819426419
190	0.9027431421	0.2815381403
191	0.9027431421	0.2812172392
192	0.9039900249	0.2807774724
193	0.9052369077	0.2786336072
194	0.9039900249	0.278532557
