iter	Passed	Remaining
0	20	10341
1	33	8296
2	52	8727
3	64	8018
4	84	8361
5	109	9007
6	133	9407
7	158	9763
8	183	9986
9	207	10148
10	224	10000
11	249	10161
12	265	9955
13	288	10029
14	313	10130
15	329	9965
16	342	9738
17	365	9800
18	393	9968
19	419	10077
20	428	9768
21	451	9817
22	476	9887
23	502	9958
24	526	9996
25	549	10016
26	572	10037
27	596	10059
28	620	10072
29	644	10090
30	668	10108
31	694	10150
32	717	10153
33	740	10153
34	764	10155
35	787	10154
36	812	10172
37	837	10186
38	861	10189
39	887	10205
40	911	10199
41	935	10201
42	959	10200
43	983	10197
44	1007	10185
45	1031	10180
46	1054	10168
47	1082	10195
48	1107	10189
49	1115	10041
50	1140	10038
51	1164	10034
52	1190	10040
53	1214	10033
54	1240	10033
55	1265	10033
56	1289	10018
57	1315	10024
58	1344	10047
59	1368	10032
60	1394	10037
61	1418	10022
62	1434	9949
63	1458	9936
64	1482	9924
65	1506	9907
66	1531	9895
67	1556	9888
68	1580	9872
69	1605	9861
70	1629	9844
71	1650	9811
72	1674	9793
73	1699	9780
74	1747	9904
75	1770	9876
76	1797	9874
77	1807	9779
78	1831	9758
79	1856	9744
80	1879	9721
81	1900	9689
82	1909	9593
83	1933	9573
84	1956	9550
85	1978	9524
86	1986	9430
87	2009	9409
88	2032	9387
89	2056	9367
90	2089	9392
91	2113	9371
92	2136	9349
93	2159	9327
94	2167	9242
95	2190	9219
96	2214	9198
97	2238	9183
98	2262	9164
99	2287	9149
100	2310	9127
101	2335	9112
102	2369	9134
103	2403	9150
104	2413	9080
105	2426	9018
106	2450	8998
107	2473	8979
108	2497	8957
109	2521	8941
110	2539	8900
111	2560	8871
112	2573	8814
113	2598	8798
114	2625	8789
115	2651	8778
116	2664	8722
117	2674	8657
118	2699	8641
119	2725	8631
120	2734	8566
121	2760	8552
122	2785	8538
123	2802	8498
124	2828	8486
125	2855	8476
126	2881	8464
127	2906	8447
128	2933	8435
129	2946	8384
130	2969	8363
131	2989	8334
132	2998	8273
133	3022	8254
134	3046	8237
135	3071	8221
136	3096	8204
137	3114	8170
138	3138	8152
139	3163	8135
140	3176	8088
141	3200	8069
142	3225	8052
143	3251	8037
144	3274	8016
145	3299	8000
146	3324	7983
147	3348	7963
148	3372	7943
149	3381	7891
150	3390	7836
151	3414	7817
152	3437	7796
153	3461	7778
154	3486	7759
155	3509	7739
156	3530	7712
157	3538	7659
158	3568	7653
159	3595	7641
160	3621	7625
161	3647	7609
162	3674	7596
163	3701	7583
164	3726	7566
165	3753	7552
166	3780	7538
167	3807	7524
168	3833	7508
169	3859	7491
170	3886	7477
171	3913	7463
172	3940	7447
173	3967	7432
174	3993	7416
175	4018	7398
176	4046	7383
177	4072	7366
178	4097	7348
179	4122	7329
180	4149	7312
181	4174	7294
182	4199	7274
183	4226	7258
184	4250	7238
185	4275	7218
186	4301	7199
187	4327	7181
188	4352	7162
189	4380	7147
190	4407	7131
191	4435	7114
192	4460	7095
193	4486	7076
194	4510	7055
195	4536	7035
196	4562	7016
197	4586	6995
198	4610	6973
199	4634	6951
200	4657	6928
201	4683	6909
202	4709	6890
203	4734	6870
204	4760	6850
205	4785	6830
206	4810	6808
207	4834	6786
208	4858	6765
209	4881	6741
210	4907	6721
211	4931	6699
212	4954	6676
213	4979	6655
214	5004	6633
215	5030	6613
216	5053	6590
217	5078	6568
218	5105	6550
219	5129	6528
220	5152	6505
221	5179	6485
222	5204	6464
223	5228	6442
224	5252	6420
225	5279	6400
226	5305	6380
227	5330	6358
228	5355	6337
229	5380	6316
230	5407	6296
231	5432	6275
232	5460	6257
233	5487	6238
234	5513	6217
235	5537	6194
236	5563	6174
237	5590	6153
238	5616	6133
239	5642	6113
240	5669	6092
241	5696	6072
242	5723	6052
243	5749	6031
244	5777	6013
245	5805	5994
246	5832	5973
247	5859	5954
248	5900	5947
249	5946	5946
250	5985	5937
251	6020	5925
252	6047	5904
253	6072	5881
254	6098	5859
255	6128	5841
256	6153	5818
257	6177	5794
258	6259	5824
259	6312	5826
260	6375	5837
261	6481	5887
262	6695	6033
263	6732	6018
264	6817	6045
265	6847	6023
266	6887	6010
267	6913	5985
268	6956	5974
269	6997	5961
270	7051	5958
271	7107	5957
272	7178	5968
273	7273	5998
274	7444	6090
275	7520	6103
276	7574	6097
277	7618	6083
278	7700	6099
279	7743	6084
280	7824	6098
281	7879	6091
282	7927	6078
283	7993	6079
284	8103	6113
285	8165	6109
286	8230	6108
287	8280	6095
288	8391	6126
289	8425	6101
290	8477	6088
291	8516	6066
292	8573	6056
293	8599	6025
294	8661	6018
295	8730	6017
296	8759	5986
297	8837	5990
298	8884	5972
299	8927	5951
300	8985	5940
301	9023	5915
302	9051	5885
303	9159	5905
304	9218	5893
305	9274	5880
306	9329	5865
307	9364	5837
308	9421	5823
309	9470	5804
310	9518	5784
311	9565	5763
312	9619	5746
313	9661	5723
314	9711	5703
315	9762	5684
316	9817	5667
317	9859	5642
318	9907	5621
319	9962	5603
320	10015	5584
321	10066	5564
322	10106	5538
323	10162	5520
324	10212	5499
325	10265	5479
326	10305	5452
327	10353	5429
328	10429	5421
329	10485	5401
330	10526	5374
331	10552	5339
332	10598	5315
333	10626	5281
334	10657	5249
335	10726	5235
336	10785	5216
337	10825	5188
338	10870	5162
339	10927	5142
340	10970	5115
341	11016	5089
342	11103	5082
343	11158	5060
344	11197	5030
345	11230	4998
346	11256	4963
347	11279	4926
348	11306	4892
349	11339	4859
350	11373	4828
351	11399	4792
352	11424	4757
353	11448	4721
354	11475	4686
355	11500	4651
356	11523	4615
357	11547	4580
358	11571	4544
359	11594	4508
360	11616	4473
361	11639	4437
362	11663	4401
363	11686	4366
364	11709	4330
365	11733	4295
366	11757	4260
367	11782	4226
368	11806	4191
369	11831	4156
370	11855	4122
371	11879	4087
372	11904	4053
373	11929	4018
374	11952	3984
375	11976	3949
376	12000	3915
377	12025	3881
378	12049	3847
379	12074	3812
380	12098	3778
381	12124	3745
382	12148	3711
383	12173	3677
384	12199	3643
385	12224	3610
386	12247	3576
387	12271	3542
388	12294	3508
389	12319	3474
390	12344	3441
391	12370	3408
392	12394	3374
393	12419	3341
394	12444	3308
395	12469	3274
396	12492	3241
397	12516	3207
398	12542	3174
399	12566	3141
400	12590	3108
401	12615	3075
402	12641	3042
403	12667	3010
404	12691	2977
405	12719	2944
406	12747	2912
407	12772	2879
408	12795	2846
409	12819	2813
410	12842	2781
411	12866	2748
412	12890	2715
413	12914	2682
414	12938	2650
415	12962	2617
416	12987	2584
417	13012	2552
418	13037	2520
419	13060	2487
420	13084	2455
421	13109	2423
422	13132	2390
423	13156	2358
424	13181	2326
425	13205	2293
426	13228	2261
427	13252	2229
428	13276	2197
429	13300	2165
430	13325	2133
431	13352	2101
432	13375	2069
433	13398	2037
434	13423	2005
435	13447	1973
436	13470	1941
437	13493	1910
438	13517	1878
439	13544	1846
440	13568	1815
441	13592	1783
442	13615	1751
443	13640	1720
444	13664	1688
445	13688	1657
446	13714	1626
447	13737	1594
448	13761	1563
449	13785	1531
450	13810	1500
451	13836	1469
452	13860	1438
453	13884	1406
454	13908	1375
455	13932	1344
456	13956	1313
457	13982	1282
458	14005	1251
459	14029	1219
460	14054	1189
461	14081	1158
462	14106	1127
463	14130	1096
464	14153	1065
465	14180	1034
466	14205	1003
467	14231	973
468	14254	942
469	14278	911
470	14302	880
471	14327	849
472	14354	819
473	14378	788
474	14404	758
475	14429	727
476	14454	696
477	14479	666
478	14502	635
479	14527	605
480	14554	574
481	14578	544
482	14602	513
483	14626	483
484	14649	453
485	14672	422
486	14696	392
487	14720	361
488	14744	331
489	14769	301
490	14794	271
491	14820	240
492	14844	210
493	14869	180
494	14893	150
495	14918	120
496	14944	90
497	14969	60
498	14992	30
499	15016	0
