iter	Passed	Remaining
0	27	2759
1	56	2791
2	90	2915
3	123	2966
4	155	2946
5	191	3002
6	226	3011
7	264	3045
8	301	3048
9	338	3046
10	372	3014
11	405	2971
12	442	2963
13	479	2943
14	520	2948
15	554	2911
16	592	2893
17	625	2849
18	663	2829
19	701	2805
20	736	2769
21	774	2744
22	815	2731
23	856	2712
24	896	2689
25	931	2650
26	965	2609
27	999	2569
28	1035	2535
29	1072	2502
30	1112	2475
31	1147	2438
32	1184	2405
33	1223	2374
34	1268	2356
35	1309	2328
36	1347	2294
37	1379	2250
38	1414	2212
39	1452	2178
40	1496	2153
41	1532	2115
42	1568	2079
43	1604	2041
44	1639	2003
45	1670	1961
46	1707	1925
47	1738	1883
48	1773	1845
49	1807	1807
50	1842	1769
51	1878	1734
52	1914	1697
53	1948	1659
54	1981	1621
55	2015	1583
56	2049	1545
57	2083	1508
58	2123	1475
59	2156	1437
60	2192	1401
61	2229	1366
62	2264	1329
63	2305	1296
64	2344	1262
65	2380	1226
66	2416	1190
67	2454	1154
68	2489	1118
69	2522	1081
70	2554	1043
71	2589	1006
72	2626	971
73	2649	930
74	2686	895
75	2720	859
76	2756	823
77	2790	787
78	2825	751
79	2860	715
80	2897	679
81	2931	643
82	2969	608
83	3002	571
84	3036	535
85	3074	500
86	3110	464
87	3145	428
88	3181	393
89	3219	357
90	3251	321
91	3289	286
92	3320	249
93	3361	214
94	3393	178
95	3425	142
96	3459	106
97	3485	71
98	3519	35
99	3555	0
