iter	Passed	Remaining
0	20	10346
1	29	7414
2	52	8707
3	64	7960
4	83	8286
5	109	9008
6	134	9439
7	153	9432
8	176	9634
9	200	9839
10	225	10037
11	245	9989
12	269	10102
13	292	10171
14	316	10234
15	339	10279
16	353	10029
17	375	10055
18	401	10164
19	413	9932
20	428	9784
21	452	9832
22	476	9892
23	500	9931
24	524	9960
25	548	10003
26	572	10033
27	595	10037
28	619	10062
29	642	10062
30	665	10073
31	690	10097
32	714	10111
33	738	10119
34	761	10118
35	785	10124
36	801	10025
37	824	10029
38	847	10023
39	871	10026
40	894	10015
41	919	10029
42	943	10024
43	951	9861
44	974	9851
45	998	9858
46	1023	9868
47	1047	9867
48	1074	9887
49	1098	9884
50	1123	9888
51	1146	9874
52	1170	9871
53	1193	9860
54	1205	9756
55	1230	9752
56	1254	9748
57	1276	9731
58	1285	9611
59	1297	9517
60	1322	9516
61	1345	9506
62	1368	9495
63	1380	9406
64	1405	9404
65	1430	9408
66	1455	9408
67	1480	9402
68	1503	9392
69	1526	9379
70	1549	9362
71	1574	9356
72	1598	9349
73	1621	9334
74	1629	9235
75	1652	9219
76	1675	9206
77	1700	9201
78	1724	9191
79	1750	9189
80	1774	9177
81	1799	9170
82	1811	9102
83	1836	9093
84	1861	9090
85	1886	9081
86	1909	9062
87	1932	9046
88	1955	9031
89	1978	9014
90	2002	9002
91	2018	8952
92	2042	8940
93	2068	8934
94	2093	8927
95	2117	8910
96	2143	8906
97	2168	8894
98	2192	8879
99	2217	8868
100	2226	8794
101	2249	8777
102	2272	8760
103	2277	8671
104	2300	8654
105	2324	8641
106	2349	8628
107	2372	8610
108	2396	8597
109	2421	8587
110	2445	8570
111	2469	8556
112	2494	8541
113	2518	8527
114	2541	8507
115	2556	8462
116	2579	8443
117	2602	8426
118	2627	8412
119	2651	8395
120	2656	8319
121	2679	8302
122	2699	8273
123	2723	8258
124	2748	8245
125	2771	8225
126	2795	8209
127	2818	8190
128	2841	8172
129	2867	8162
130	2890	8142
131	2913	8122
132	2936	8101
133	2954	8071
134	2976	8048
135	2988	7999
136	3010	7977
137	3033	7957
138	3057	7939
139	3080	7922
140	3103	7901
141	3125	7879
142	3134	7824
143	3156	7803
144	3180	7785
145	3202	7764
146	3226	7747
147	3250	7730
148	3274	7714
149	3283	7660
150	3305	7640
151	3329	7622
152	3353	7605
153	3377	7588
154	3401	7571
155	3415	7531
156	3439	7515
157	3463	7496
158	3487	7478
159	3510	7459
160	3535	7443
161	3558	7423
162	3582	7406
163	3605	7386
164	3630	7370
165	3646	7337
166	3669	7316
167	3692	7297
168	3716	7278
169	3739	7258
170	3763	7240
171	3786	7220
172	3810	7202
173	3833	7183
174	3857	7164
175	3882	7147
176	3907	7130
177	3930	7110
178	3953	7090
179	3979	7073
180	4003	7055
181	4027	7037
182	4053	7020
183	4077	7003
184	4095	6972
185	4118	6953
186	4141	6932
187	4165	6913
188	4188	6892
189	4212	6873
190	4235	6852
191	4260	6834
192	4284	6814
193	4307	6794
194	4331	6775
195	4355	6754
196	4381	6739
197	4406	6720
198	4430	6700
199	4452	6678
