iter	Accuracy	Logloss
0	0.8094645081	0.6602176271
1	0.8094645081	0.6438966139
2	0.8094645081	0.6196440985
3	0.8094645081	0.6067782012
4	0.8082191781	0.5874865558
5	0.804483188	0.5712276363
6	0.8132004981	0.5514895174
7	0.8107098381	0.5390615185
8	0.8069738481	0.5279631051
9	0.8132004981	0.5121598444
10	0.8132004981	0.5011943198
11	0.8132004981	0.4911437892
12	0.8132004981	0.4811736463
13	0.8119551681	0.4712749879
14	0.8144458281	0.4665678489
15	0.8206724782	0.4581829087
16	0.8156911582	0.4541728878
17	0.8206724782	0.4447223899
18	0.8268991283	0.4371037443
19	0.8231631382	0.4351789859
20	0.8219178082	0.4320941122
21	0.8219178082	0.4282200686
22	0.8206724782	0.4221605858
23	0.8256537983	0.4192469862
24	0.8293897883	0.4171577292
25	0.8293897883	0.4124977712
26	0.8306351183	0.4078477609
27	0.8356164384	0.4041370718
28	0.8343711083	0.4014383187
29	0.8318804483	0.3983543079
30	0.8331257783	0.3957986971
31	0.8356164384	0.3936972756
32	0.8331257783	0.3914625031
33	0.8356164384	0.3889405527
34	0.8393524284	0.3867647909
35	0.8430884184	0.3837980117
36	0.8418430884	0.383132985
37	0.8430884184	0.3812100987
38	0.8480697385	0.3777353783
39	0.8480697385	0.3762684364
40	0.8530510585	0.3739390893
41	0.8530510585	0.3724371645
42	0.8505603985	0.370930776
43	0.8505603985	0.3708164495
44	0.8518057285	0.3695893012
45	0.8580323786	0.3676119088
46	0.8592777086	0.3658617608
47	0.8642590286	0.3641104449
48	0.8667496887	0.3631171633
49	0.8717310087	0.3618518242
50	0.8742216687	0.3597924118
51	0.8742216687	0.3582667872
52	0.8754669988	0.3568009594
53	0.8792029888	0.3543753463
54	0.8792029888	0.3543426376
55	0.8792029888	0.3536793959
56	0.8816936488	0.3517675015
57	0.8779576588	0.3510042714
58	0.8792029888	0.3508807572
59	0.8804483188	0.3504832854
60	0.8829389788	0.3495231979
61	0.8841843088	0.3488962955
62	0.8829389788	0.3478186451
63	0.8854296389	0.3475641934
64	0.8829389788	0.3464798692
65	0.8841843088	0.3452321089
66	0.8854296389	0.3440545354
67	0.8854296389	0.3423992041
68	0.8854296389	0.3414167557
69	0.8854296389	0.3412464006
70	0.8854296389	0.3403658044
71	0.8866749689	0.3400211208
72	0.8866749689	0.3386116912
73	0.8841843088	0.3381417619
74	0.8854296389	0.3377726887
75	0.8854296389	0.3365800523
76	0.8841843088	0.3350523352
77	0.8866749689	0.3344329778
78	0.8854296389	0.3333247122
79	0.8866749689	0.3325363981
80	0.8891656289	0.3313067439
81	0.8904109589	0.3307527335
82	0.8904109589	0.3303456667
83	0.8891656289	0.3290516236
84	0.8879202989	0.32859573
85	0.8904109589	0.3281556761
86	0.8904109589	0.3280868755
87	0.8916562889	0.3262789205
88	0.8904109589	0.325914024
89	0.8916562889	0.3258582573
90	0.8929016189	0.3249560751
91	0.8929016189	0.324879239
92	0.8929016189	0.3247316947
93	0.8941469489	0.3239005204
94	0.895392279	0.3233011448
95	0.895392279	0.3225942579
96	0.8941469489	0.3221303958
97	0.8941469489	0.3220201331
98	0.895392279	0.3218344209
99	0.8941469489	0.3213010426
100	0.8929016189	0.321239012
101	0.8941469489	0.3209545764
102	0.8929016189	0.3203842842
103	0.8929016189	0.3203842838
104	0.8941469489	0.3200200272
105	0.8941469489	0.3184874867
106	0.8941469489	0.3182704131
107	0.8941469489	0.3178707844
108	0.8941469489	0.3155156365
109	0.8941469489	0.3146793465
110	0.895392279	0.3140532698
111	0.895392279	0.3134298608
112	0.900373599	0.3120925083
113	0.900373599	0.3109978437
114	0.900373599	0.3108887711
115	0.900373599	0.3108469002
116	0.900373599	0.3106093224
117	0.901618929	0.3104177841
118	0.901618929	0.3099432025
119	0.902864259	0.3091896712
120	0.902864259	0.3091896701
121	0.904109589	0.3086734615
122	0.904109589	0.3085612388
123	0.901618929	0.3076036147
124	0.901618929	0.3072397124
125	0.901618929	0.3069408827
126	0.901618929	0.3067163816
127	0.901618929	0.3059020741
128	0.901618929	0.3056445678
129	0.902864259	0.3051240222
130	0.902864259	0.3043201549
131	0.904109589	0.3033295833
132	0.9053549191	0.3029786274
133	0.9053549191	0.3026771597
134	0.9066002491	0.3007589261
135	0.9066002491	0.3007105984
136	0.9066002491	0.3001209606
137	0.9053549191	0.299217485
138	0.9066002491	0.2983924594
139	0.9066002491	0.2978318531
140	0.9078455791	0.2976889258
141	0.9078455791	0.2963929183
142	0.9078455791	0.2963495494
143	0.9078455791	0.2961745479
144	0.9078455791	0.2957973629
145	0.9078455791	0.2950356755
146	0.9066002491	0.2940771723
147	0.9066002491	0.2931438204
148	0.9078455791	0.2922841054
149	0.9090909091	0.2922485908
150	0.9103362391	0.2915696125
151	0.9103362391	0.2913003777
152	0.9115815691	0.290719645
153	0.9115815691	0.2895892654
154	0.9103362391	0.2893223383
155	0.9103362391	0.2892900698
156	0.9090909091	0.2883116382
157	0.9103362391	0.2865842912
158	0.9115815691	0.285448362
159	0.9128268991	0.2845339952
160	0.9153175592	0.2841577071
161	0.9153175592	0.2837249926
162	0.9140722291	0.2830075703
163	0.9153175592	0.2823940973
164	0.9153175592	0.2821401391
165	0.9153175592	0.2819421752
166	0.9140722291	0.2818616592
167	0.9153175592	0.2817048642
168	0.9165628892	0.2808519663
169	0.9165628892	0.2794897849
170	0.9165628892	0.2792157127
171	0.9165628892	0.27904857
172	0.9165628892	0.2782751203
173	0.9165628892	0.2779954441
174	0.9153175592	0.2776783639
175	0.9140722291	0.2771614095
176	0.9153175592	0.2768507851
177	0.9153175592	0.2765875857
178	0.9165628892	0.2757035394
179	0.9165628892	0.2751706216
180	0.9178082192	0.2745365894
181	0.9165628892	0.2735819855
182	0.9178082192	0.2733470511
183	0.9178082192	0.2727443668
184	0.9178082192	0.2727208845
185	0.9190535492	0.2713893807
186	0.9215442092	0.2702673336
187	0.9215442092	0.2697162248
188	0.9215442092	0.2692075894
189	0.9215442092	0.2688320972
190	0.9215442092	0.2687181894
191	0.9215442092	0.2681593815
192	0.9215442092	0.2678910705
193	0.9202988792	0.2669827518
194	0.9202988792	0.2663046038
195	0.9190535492	0.265517256
196	0.9215442092	0.2653274193
197	0.9227895392	0.2642737497
198	0.9227895392	0.2641672281
199	0.9227895392	0.2637028254
200	0.9227895392	0.2635843162
201	0.9227895392	0.26331076
202	0.9240348692	0.2624788312
203	0.9240348692	0.2624222533
204	0.9227895392	0.2621102122
205	0.9227895392	0.2620077281
206	0.9240348692	0.2611105072
207	0.9240348692	0.2605175971
208	0.9240348692	0.2597192168
209	0.9240348692	0.2583933716
210	0.9240348692	0.2582638399
211	0.9227895392	0.2577666523
212	0.9252801993	0.256801444
213	0.9265255293	0.2563101872
214	0.9265255293	0.2551316532
215	0.9265255293	0.2537883918
216	0.9265255293	0.2535807843
217	0.9265255293	0.2531338882
218	0.9265255293	0.2527709853
219	0.9265255293	0.2523633089
220	0.9265255293	0.2522298948
221	0.9277708593	0.251674253
222	0.9277708593	0.2513917233
223	0.9277708593	0.250731306
224	0.9277708593	0.2500212572
225	0.9277708593	0.2491544161
226	0.9277708593	0.2487093066
227	0.9290161893	0.2479889312
228	0.9265255293	0.2471899745
229	0.9277708593	0.2466228577
230	0.9290161893	0.2459990828
231	0.9277708593	0.2458158571
232	0.9277708593	0.2454424694
233	0.9290161893	0.2450047958
234	0.9315068493	0.244569741
235	0.9339975093	0.2437049691
236	0.9352428394	0.2434846227
237	0.9339975093	0.2434333135
238	0.9339975093	0.243060324
239	0.9339975093	0.2420485359
240	0.9339975093	0.241764528
241	0.9339975093	0.2412767056
242	0.9339975093	0.2406820761
243	0.9339975093	0.2404175491
244	0.9339975093	0.2402101426
245	0.9339975093	0.2395364404
246	0.9339975093	0.2392255525
247	0.9364881694	0.2387870893
248	0.9364881694	0.2385721021
249	0.9364881694	0.2376531261
250	0.9352428394	0.2375545684
251	0.9352428394	0.2370589077
252	0.9352428394	0.2369074227
253	0.9352428394	0.2365917189
254	0.9339975093	0.2357335104
255	0.9364881694	0.2353731762
256	0.9364881694	0.2352360949
257	0.9364881694	0.2345999465
258	0.9377334994	0.2341070857
259	0.9377334994	0.2333827199
260	0.9377334994	0.2330620094
261	0.9377334994	0.2329107235
262	0.9389788294	0.2324341453
263	0.9389788294	0.2319831244
264	0.9389788294	0.2314445021
265	0.9389788294	0.2309083914
266	0.9389788294	0.2303112015
267	0.9389788294	0.2295137315
268	0.9389788294	0.2290220048
269	0.9389788294	0.2286096605
270	0.9389788294	0.2282000734
271	0.9402241594	0.2279676613
272	0.9402241594	0.227846225
273	0.9402241594	0.2274689631
274	0.9402241594	0.2271878362
275	0.9414694894	0.2264805812
276	0.9414694894	0.2259269237
277	0.9414694894	0.2252372303
278	0.9427148194	0.2240453905
279	0.9427148194	0.2236028279
280	0.9427148194	0.223359032
281	0.9427148194	0.2229344681
282	0.9439601494	0.2217847125
283	0.9439601494	0.2210749719
284	0.9439601494	0.220410998
285	0.9439601494	0.2201055602
286	0.9439601494	0.2199855702
287	0.9452054795	0.2195853235
288	0.9452054795	0.2192565728
289	0.9452054795	0.2190053842
290	0.9452054795	0.2184549144
291	0.9452054795	0.2182514737
292	0.9452054795	0.2177863355
293	0.9464508095	0.2173866182
294	0.9464508095	0.2167781786
295	0.9489414695	0.2156398588
296	0.9489414695	0.214871411
297	0.9489414695	0.2147985681
298	0.9489414695	0.2139531935
299	0.9489414695	0.2137150042
300	0.9489414695	0.2134911224
301	0.9489414695	0.2133886628
302	0.9501867995	0.2130943045
303	0.9489414695	0.2123014712
304	0.9501867995	0.211610321
305	0.9489414695	0.2106297321
306	0.9501867995	0.2103178656
307	0.9501867995	0.2098897381
308	0.9501867995	0.2090044246
309	0.9501867995	0.2077918201
310	0.9501867995	0.2076026607
311	0.9501867995	0.2072915525
312	0.9501867995	0.2065069966
313	0.9501867995	0.2061049798
314	0.9501867995	0.2054089775
315	0.9501867995	0.205041137
316	0.9514321295	0.2048009149
317	0.9526774595	0.2047953331
318	0.9514321295	0.2043824106
319	0.9514321295	0.2042387158
320	0.9501867995	0.2031334083
321	0.9514321295	0.2031282103
322	0.9501867995	0.2030017811
323	0.9501867995	0.2024531026
324	0.9526774595	0.2019321297
325	0.9526774595	0.2015952906
326	0.9526774595	0.2014980795
327	0.9514321295	0.2010270264
328	0.9514321295	0.2000235971
329	0.9514321295	0.1996299768
330	0.9514321295	0.1991314242
331	0.9526774595	0.1988081776
332	0.9526774595	0.198674674
333	0.9526774595	0.1984387151
334	0.9514321295	0.1979361189
335	0.9526774595	0.1976131658
336	0.9526774595	0.1971790967
337	0.9526774595	0.1971147667
338	0.9526774595	0.1961998424
339	0.9526774595	0.1956919011
340	0.9526774595	0.1955458689
341	0.9526774595	0.1953796482
342	0.9526774595	0.1943788263
343	0.9526774595	0.1941372879
344	0.9526774595	0.1930479126
345	0.9526774595	0.192759847
346	0.9526774595	0.1921475224
347	0.9526774595	0.1916438125
348	0.9526774595	0.1913249428
349	0.9526774595	0.1908022237
350	0.9539227895	0.1901771066
351	0.9539227895	0.1896622327
352	0.9539227895	0.1894101452
353	0.9539227895	0.1891510655
354	0.9539227895	0.1889370845
355	0.9539227895	0.1884664408
356	0.9539227895	0.1883640099
357	0.9539227895	0.1882593996
358	0.9539227895	0.1876906385
359	0.9539227895	0.1870246911
360	0.9539227895	0.1867385111
361	0.9539227895	0.1865714769
362	0.9539227895	0.1864329502
363	0.9539227895	0.186185848
364	0.9539227895	0.1860650016
365	0.9539227895	0.1855879276
366	0.9539227895	0.1854907524
367	0.9539227895	0.1852652146
368	0.9539227895	0.184846245
369	0.9539227895	0.1845132577
370	0.9539227895	0.1837641069
371	0.9539227895	0.1829217874
372	0.9539227895	0.1825722514
373	0.9539227895	0.1820496238
374	0.9539227895	0.1816554871
375	0.9539227895	0.1811578265
376	0.9539227895	0.1806175027
377	0.9539227895	0.1803429316
378	0.9539227895	0.1801091452
379	0.9539227895	0.1798324296
380	0.9539227895	0.1796429513
381	0.9539227895	0.1794763268
382	0.9539227895	0.1793203852
383	0.9539227895	0.1792356628
384	0.9539227895	0.1789885132
385	0.9539227895	0.178900337
386	0.9539227895	0.1780371029
387	0.9539227895	0.1779286042
388	0.9539227895	0.1776292868
389	0.9539227895	0.1774347128
390	0.9539227895	0.1769398026
391	0.9539227895	0.1763594022
392	0.9539227895	0.1759485424
393	0.9539227895	0.1758586608
394	0.9539227895	0.1754075694
395	0.9539227895	0.1753787281
396	0.9551681196	0.1749725688
397	0.9551681196	0.1748303475
398	0.9551681196	0.174803832
399	0.9551681196	0.1742155217
400	0.9551681196	0.173608758
401	0.9551681196	0.1733861758
402	0.9551681196	0.1728261907
403	0.9551681196	0.172510693
404	0.9564134496	0.1721391589
405	0.9564134496	0.1720717911
406	0.9564134496	0.1718384328
407	0.9564134496	0.1717575103
408	0.9564134496	0.1716484529
409	0.9564134496	0.171434053
410	0.9564134496	0.1713659949
411	0.9564134496	0.1712713479
412	0.9564134496	0.1710271236
413	0.9564134496	0.1708485512
414	0.9564134496	0.1707722539
415	0.9564134496	0.1707127909
416	0.9564134496	0.1698726231
417	0.9564134496	0.1696956368
418	0.9564134496	0.1695166495
419	0.9564134496	0.1689869345
420	0.9564134496	0.1687947618
