iter	Accuracy	Logloss
0	0.812967581	0.6606038824
1	0.8092269327	0.6385805517
2	0.8054862843	0.6181144793
3	0.8054862843	0.598493987
4	0.8054862843	0.583528048
5	0.8054862843	0.5694750396
6	0.8079800499	0.551110064
7	0.8117206983	0.5367950558
8	0.812967581	0.5233284869
9	0.8167082294	0.5117471856
10	0.8104738155	0.5068415362
11	0.8117206983	0.5023774648
12	0.8117206983	0.4953826736
13	0.8142144638	0.4869957183
14	0.8117206983	0.4825245245
15	0.8117206983	0.4777944883
16	0.8117206983	0.4692741457
17	0.8104738155	0.4654642039
18	0.8117206983	0.4576418081
19	0.8167082294	0.4520046785
20	0.8167082294	0.4481867302
21	0.8179551122	0.4431537933
22	0.8266832918	0.4385256587
23	0.8279301746	0.4337439342
24	0.8304239401	0.4290672898
25	0.8329177057	0.426494611
26	0.8354114713	0.4232899535
27	0.8341645885	0.4195451276
28	0.8379052369	0.4172154374
29	0.8391521197	0.4131309606
30	0.8379052369	0.4080361124
31	0.8391521197	0.4068116219
32	0.8391521197	0.4032134735
33	0.8403990025	0.4007929035
34	0.8379052369	0.3990506074
35	0.8403990025	0.3966726266
36	0.8391521197	0.3933999186
37	0.8403990025	0.3916145583
38	0.8466334165	0.3886997225
39	0.8478802993	0.3874017926
40	0.8466334165	0.3859503123
41	0.8478802993	0.3839656372
42	0.8453865337	0.3812992669
43	0.849127182	0.3798727752
44	0.8478802993	0.3787574197
45	0.849127182	0.377363031
46	0.849127182	0.3770140686
47	0.849127182	0.3757795996
48	0.8516209476	0.3752209121
49	0.8528678304	0.3742849667
50	0.8541147132	0.3727889258
51	0.8528678304	0.3709966783
52	0.8541147132	0.3679401014
53	0.8541147132	0.3672200249
54	0.8541147132	0.3650821913
55	0.855361596	0.3644728095
56	0.855361596	0.3631450747
57	0.855361596	0.3627017966
58	0.855361596	0.362240045
59	0.8528678304	0.3600895263
60	0.8566084788	0.3580876956
61	0.8566084788	0.3562247263
62	0.8566084788	0.3551429848
63	0.8566084788	0.3539464181
64	0.8566084788	0.3526797118
65	0.8566084788	0.3514571608
66	0.8578553616	0.3491411253
67	0.8591022444	0.3484272396
68	0.8603491272	0.3477764748
69	0.8603491272	0.3472924666
70	0.8603491272	0.3464307854
71	0.86159601	0.3459132511
72	0.8628428928	0.3444876087
73	0.8628428928	0.3444097828
74	0.8640897756	0.343419422
