iter	Passed	Remaining
0	21	10970
1	35	8797
2	55	9243
3	69	8669
4	92	9171
5	119	9839
6	146	10320
7	158	9768
8	185	10095
9	211	10372
10	229	10212
11	251	10228
12	272	10219
13	297	10332
14	306	9900
15	330	10004
16	355	10092
17	380	10184
18	406	10298
19	432	10385
20	461	10530
21	476	10348
22	501	10392
23	519	10297
24	546	10376
25	571	10415
26	605	10607
27	632	10656
28	657	10673
29	681	10682
30	702	10630
31	728	10655
32	754	10676
33	783	10732
34	811	10783
35	840	10829
36	866	10845
37	892	10845
38	913	10802
39	940	10819
40	967	10832
41	983	10729
42	1000	10636
43	1036	10740
44	1067	10797
45	1089	10751
46	1116	10760
47	1144	10772
48	1162	10700
49	1190	10711
50	1218	10728
51	1245	10727
52	1259	10619
53	1272	10510
54	1303	10543
55	1331	10554
56	1364	10606
57	1393	10623
58	1419	10613
59	1445	10599
60	1468	10569
61	1493	10549
62	1518	10529
63	1542	10510
64	1560	10442
65	1583	10414
66	1608	10395
67	1631	10366
68	1657	10353
69	1681	10326
70	1706	10312
71	1730	10287
72	1754	10261
73	1778	10238
74	1791	10151
75	1814	10121
76	1838	10099
77	1861	10073
78	1886	10053
79	1912	10042
80	1939	10031
81	1966	10021
82	1989	9994
83	2009	9949
84	2030	9914
85	2043	9836
86	2069	9823
87	2094	9804
88	2117	9780
89	2126	9687
90	2152	9675
91	2176	9654
92	2200	9630
93	2225	9614
94	2249	9589
95	2261	9518
96	2285	9497
97	2297	9426
98	2322	9405
99	2347	9389
100	2374	9379
101	2400	9366
102	2427	9356
103	2454	9346
104	2481	9335
105	2508	9324
106	2523	9267
107	2549	9253
108	2576	9242
109	2602	9228
110	2628	9211
111	2649	9177
112	2658	9106
113	2672	9049
114	2686	8993
115	2712	8979
116	2738	8963
117	2763	8946
118	2790	8932
119	2815	8915
120	2839	8893
121	2871	8897
122	2894	8872
123	2918	8849
124	2942	8826
125	2966	8804
126	2989	8780
127	3016	8766
128	3041	8748
129	3066	8728
130	3092	8709
131	3106	8661
132	3132	8644
133	3142	8584
134	3169	8570
135	3195	8553
136	3205	8492
137	3232	8478
138	3256	8457
139	3281	8438
140	3307	8420
141	3331	8399
142	3357	8381
143	3381	8360
144	3390	8300
145	3415	8281
146	3439	8258
147	3464	8238
148	3488	8217
149	3545	8272
150	3586	8289
151	3617	8281
152	3698	8388
153	3729	8379
154	3755	8358
155	3779	8334
156	3802	8307
157	3827	8284
158	3839	8234
159	3863	8210
160	3887	8185
161	3911	8161
162	3935	8137
163	3961	8115
164	3973	8066
165	3998	8044
166	4022	8021
167	4048	7999
168	4072	7977
169	4098	7955
170	4123	7933
171	4147	7909
172	4171	7884
173	4195	7860
174	4220	7838
175	4245	7816
176	4270	7793
177	4296	7772
178	4322	7751
179	4347	7728
180	4370	7703
181	4395	7679
182	4421	7659
183	4446	7635
184	4471	7614
185	4496	7591
186	4520	7565
187	4544	7542
188	4568	7517
189	4592	7493
190	4615	7467
191	4640	7443
192	4663	7417
193	4688	7394
194	4711	7369
195	4734	7343
196	4759	7321
197	4784	7297
198	4809	7274
199	4834	7251
200	4858	7227
201	4884	7205
202	4909	7182
203	4934	7160
204	4959	7137
205	4986	7116
206	5012	7095
207	5036	7070
208	5060	7045
209	5084	7021
210	5108	6997
211	5134	6974
212	5159	6951
213	5183	6928
214	5207	6903
215	5231	6878
216	5256	6855
217	5280	6831
218	5306	6808
219	5331	6785
220	5355	6760
221	5378	6735
222	5403	6712
223	5429	6689
224	5453	6665
225	5479	6642
226	5503	6618
227	5527	6593
228	5552	6570
229	5576	6546
230	5599	6520
231	5624	6497
232	5649	6473
233	5674	6449
234	5699	6427
235	5725	6404
236	5749	6380
237	5772	6354
238	5797	6331
239	5821	6306
240	5847	6283
241	5872	6260
242	5911	6252
243	5944	6237
244	5979	6223
245	6019	6215
246	6050	6197
247	6074	6172
248	6098	6147
249	6123	6123
250	6147	6098
251	6171	6073
252	6196	6049
253	6255	6058
254	6331	6082
255	6401	6101
256	6453	6101
257	6488	6085
258	6521	6068
259	6555	6050
260	6621	6063
261	6683	6071
262	6749	6082
263	6797	6076
264	6876	6098
265	6941	6106
266	7000	6108
267	7045	6099
268	7090	6088
269	7151	6092
270	7182	6069
271	7239	6068
272	7289	6061
273	7343	6056
274	7382	6040
275	7424	6025
276	7451	5999
277	7525	6009
278	7569	5996
279	7633	5998
280	7674	5980
281	7716	5965
282	7786	5970
283	7822	5949
284	7896	5956
285	7940	5941
286	7974	5918
287	8037	5916
288	8117	5926
289	8140	5895
290	8195	5885
291	8236	5867
292	8272	5844
293	8311	5824
