iter	Accuracy	Logloss
0	0.8329177057	0.6593104482
1	0.819201995	0.6353974166
2	0.8142144638	0.6136823485
3	0.8104738155	0.5995863641
4	0.812967581	0.5792149495
5	0.8142144638	0.559122114
6	0.8079800499	0.5440602314
7	0.8117206983	0.5311216765
8	0.8154613466	0.5209753932
9	0.8204488778	0.5063910548
10	0.8179551122	0.4981451006
11	0.8204488778	0.4879023385
12	0.8204488778	0.4806932523
13	0.8204488778	0.471231909
14	0.8204488778	0.4679351239
15	0.8241895262	0.459753336
16	0.8241895262	0.4549570943
17	0.8241895262	0.4479781423
18	0.8241895262	0.4421131176
19	0.8241895262	0.4384895373
20	0.8279301746	0.4322612475
21	0.8266832918	0.430982859
22	0.8266832918	0.4263183087
23	0.8266832918	0.424971365
24	0.8266832918	0.4210919115
25	0.8279301746	0.414966138
26	0.8329177057	0.4122820868
27	0.8304239401	0.4080163098
28	0.8366583541	0.4038126145
29	0.8366583541	0.4028065493
30	0.8403990025	0.4016267578
31	0.8466334165	0.3995880091
32	0.8516209476	0.3954127627
33	0.8466334165	0.3911764817
34	0.849127182	0.38853482
35	0.8516209476	0.3854446898
36	0.8503740648	0.3833505655
37	0.849127182	0.3807143766
38	0.8428927681	0.3797506222
39	0.8503740648	0.3783481681
40	0.8528678304	0.3768807922
41	0.8516209476	0.3762939874
42	0.8516209476	0.3756696561
43	0.8516209476	0.374748306
44	0.8503740648	0.3729596097
45	0.8516209476	0.3724453317
46	0.8516209476	0.3714358726
47	0.8516209476	0.3696603907
48	0.8516209476	0.3690260661
49	0.8516209476	0.3675912717
50	0.8516209476	0.366243588
51	0.8528678304	0.3658828903
52	0.8528678304	0.3651514691
53	0.8516209476	0.3645417333
54	0.8541147132	0.3638228945
55	0.8541147132	0.3627801462
56	0.855361596	0.3614110508
57	0.8566084788	0.3592910624
58	0.8591022444	0.358355397
59	0.8578553616	0.3575170305
60	0.8591022444	0.3559472626
61	0.86159601	0.35485593
62	0.86159601	0.3536766223
63	0.86159601	0.352438796
64	0.8603491272	0.3523451967
65	0.8603491272	0.3518889692
66	0.8640897756	0.3497820162
67	0.8653366584	0.3489695085
68	0.8690773067	0.347053882
69	0.8678304239	0.3461212567
70	0.8690773067	0.3449661335
71	0.8678304239	0.3439336028
72	0.8690773067	0.3432685075
73	0.8728179551	0.3419445282
74	0.8715710723	0.3413230246
75	0.8690773067	0.3402202091
76	0.8740648379	0.3389987767
77	0.8778054863	0.3381851742
78	0.8753117207	0.3369691343
79	0.8778054863	0.3338345176
80	0.8790523691	0.3322007339
81	0.8778054863	0.3314694166
82	0.8778054863	0.3311941621
83	0.8778054863	0.3310200722
84	0.8790523691	0.3309112194
85	0.8790523691	0.3307873769
86	0.8790523691	0.3302706954
87	0.8790523691	0.3298209507
88	0.8790523691	0.3293058878
89	0.8790523691	0.3293058819
90	0.8802992519	0.3286658289
91	0.8802992519	0.3279188215
92	0.8815461347	0.3274711947
93	0.8815461347	0.3251991158
94	0.8802992519	0.3245476899
95	0.8802992519	0.3244934951
96	0.8802992519	0.3239793282
97	0.8802992519	0.3239777536
98	0.8815461347	0.3236807364
99	0.8815461347	0.3233995752
100	0.8827930175	0.3219618058
101	0.8827930175	0.321144655
102	0.8827930175	0.3205716152
103	0.8827930175	0.3199861456
104	0.8827930175	0.3186485964
105	0.8840399002	0.3179667895
106	0.8840399002	0.3179018476
107	0.8840399002	0.3174306438
108	0.885286783	0.3163981782
109	0.8840399002	0.3160703324
110	0.8840399002	0.3157018255
111	0.8840399002	0.3153267781
112	0.8840399002	0.3152742515
113	0.8840399002	0.3152188895
114	0.885286783	0.3150722555
115	0.885286783	0.3145097791
116	0.885286783	0.3138731104
117	0.885286783	0.3131441049
118	0.885286783	0.3121630305
119	0.885286783	0.3117522895
120	0.885286783	0.3112529356
121	0.885286783	0.3107383897
122	0.8865336658	0.3099851413
123	0.8877805486	0.3095806111
124	0.8890274314	0.3090008986
125	0.8902743142	0.3085942775
126	0.8902743142	0.3081361004
127	0.891521197	0.3077517662
128	0.891521197	0.3073359395
129	0.891521197	0.3071138132
130	0.891521197	0.3068150359
131	0.891521197	0.3068073833
132	0.8927680798	0.3063285061
133	0.8927680798	0.3062964653
134	0.8927680798	0.3059069693
135	0.8927680798	0.3055243963
136	0.891521197	0.3054569009
137	0.891521197	0.3039816481
138	0.891521197	0.3034907477
139	0.8940149626	0.3019686055
140	0.8952618454	0.2999629829
141	0.8952618454	0.2997947306
142	0.8952618454	0.2994148154
143	0.8940149626	0.2990143274
144	0.8940149626	0.2989846009
145	0.8952618454	0.2982175023
146	0.8952618454	0.2966873951
147	0.8965087282	0.2960105252
148	0.8965087282	0.2953285128
149	0.897755611	0.2948804881
150	0.897755611	0.2946320599
151	0.8965087282	0.2923681864
152	0.8965087282	0.2914496614
153	0.8965087282	0.2913055091
154	0.8965087282	0.290994491
155	0.8965087282	0.2909390821
156	0.8965087282	0.289723611
157	0.8965087282	0.2885470606
158	0.8965087282	0.2885097815
159	0.8965087282	0.2881913686
160	0.8965087282	0.2877351258
161	0.897755611	0.287168848
162	0.897755611	0.2855774939
163	0.897755611	0.2853863244
164	0.897755611	0.2853497186
165	0.897755611	0.2848568042
166	0.897755611	0.2847209967
167	0.8990024938	0.283686109
168	0.9014962594	0.2823682022
169	0.8990024938	0.2819831236
170	0.8990024938	0.2819199357
171	0.8990024938	0.2813996105
172	0.9014962594	0.2802430473
173	0.9027431421	0.2797361528
174	0.9039900249	0.2790924398
175	0.9039900249	0.2787712646
176	0.9039900249	0.2779562912
177	0.9039900249	0.2759290512
178	0.9052369077	0.2752478614
179	0.9052369077	0.27455763
180	0.9052369077	0.2734348859
181	0.9089775561	0.2726074547
182	0.9077306733	0.2722300074
183	0.9064837905	0.2720782541
184	0.9089775561	0.2713225546
185	0.9127182045	0.2692493116
186	0.9127182045	0.2689872998
187	0.9127182045	0.268242565
188	0.9127182045	0.2680733564
189	0.9127182045	0.267250318
190	0.9127182045	0.2671859568
191	0.9139650873	0.2670268636
192	0.9139650873	0.2664103559
193	0.9139650873	0.2656764626
194	0.9139650873	0.2653584495
195	0.9152119701	0.2648875093
196	0.9152119701	0.2647396859
197	0.9152119701	0.2644353054
198	0.9152119701	0.2640071223
