iter	Passed	Remaining
0	19	9831
1	31	7930
2	51	8575
3	64	8001
4	85	8497
5	110	9077
6	135	9508
7	157	9710
8	183	10004
9	207	10145
10	231	10288
11	252	10265
12	279	10472
13	306	10628
14	334	10802
15	364	11036
16	392	11137
17	402	10772
18	427	10813
19	445	10680
20	453	10345
21	479	10428
22	503	10448
23	529	10506
24	556	10580
25	582	10622
26	591	10367
27	609	10274
28	635	10327
29	663	10389
30	689	10437
31	716	10483
32	744	10541
33	771	10575
34	797	10591
35	821	10584
36	844	10566
37	867	10551
38	893	10556
39	917	10556
40	939	10513
41	964	10514
42	988	10509
43	1012	10491
44	1035	10467
45	1059	10453
46	1082	10430
47	1106	10418
48	1131	10413
49	1140	10261
50	1161	10226
51	1185	10213
52	1209	10201
53	1233	10186
54	1258	10186
55	1281	10163
56	1305	10147
57	1330	10139
58	1355	10135
59	1381	10132
60	1409	10144
61	1436	10145
62	1461	10141
63	1486	10129
64	1510	10108
65	1533	10085
66	1556	10059
67	1579	10034
68	1584	9894
69	1606	9868
70	1629	9844
71	1652	9825
72	1675	9799
73	1697	9773
74	1720	9749
75	1743	9726
76	1766	9702
77	1788	9677
78	1811	9652
79	1815	9532
80	1841	9523
81	1868	9523
82	1895	9522
83	1925	9535
84	1943	9487
85	1961	9442
86	1988	9441
87	2003	9377
88	2030	9377
89	2058	9378
90	2085	9374
91	2111	9363
92	2137	9356
93	2156	9312
94	2180	9293
95	2202	9270
96	2226	9248
97	2249	9227
98	2271	9201
99	2294	9179
100	2303	9098
101	2327	9081
102	2354	9074
103	2378	9057
104	2402	9039
105	2411	8964
106	2434	8943
107	2458	8924
108	2482	8904
109	2507	8890
110	2535	8885
111	2575	8922
112	2602	8912
113	2628	8901
114	2647	8862
115	2672	8845
116	2696	8827
117	2722	8812
118	2747	8797
119	2773	8782
120	2790	8740
121	2795	8661
122	2820	8644
123	2845	8629
124	2871	8615
125	2898	8602
126	2924	8590
127	2951	8577
128	2976	8561
129	3010	8568
130	3037	8556
131	3063	8540
132	3072	8476
133	3096	8457
134	3108	8403
135	3132	8385
136	3156	8362
137	3180	8343
138	3204	8322
139	3229	8305
140	3253	8284
141	3278	8265
142	3303	8247
143	3325	8221
144	3351	8205
145	3378	8192
146	3405	8177
147	3431	8160
148	3457	8145
149	3486	8134
150	3512	8118
151	3541	8108
152	3567	8090
153	3591	8069
154	3615	8047
155	3638	8023
156	3662	8002
157	3685	7977
158	3709	7955
159	3728	7923
160	3753	7902
161	3761	7848
162	3785	7825
163	3808	7803
164	3832	7781
165	3856	7760
166	3896	7770
167	3935	7777
168	3969	7775
169	4003	7770
170	4036	7766
171	4062	7747
172	4085	7722
173	4108	7698
174	4132	7674
175	4158	7655
176	4184	7636
177	4208	7613
178	4232	7590
179	4256	7567
180	4280	7544
181	4304	7520
182	4329	7500
183	4354	7477
184	4379	7457
185	4403	7434
186	4426	7409
187	4450	7386
188	4474	7362
189	4497	7338
190	4522	7316
191	4545	7292
192	4568	7267
193	4592	7243
194	4618	7223
195	4643	7202
196	4669	7181
197	4695	7162
198	4721	7142
199	4747	7120
200	4774	7102
201	4799	7080
202	4827	7063
203	4858	7049
204	4883	7027
205	4907	7004
206	4934	6983
207	4960	6963
208	4984	6939
209	5008	6917
210	5033	6893
211	5058	6871
212	5081	6847
213	5107	6825
214	5133	6805
215	5159	6783
216	5184	6761
217	5212	6742
218	5239	6723
219	5265	6701
220	5298	6688
221	5333	6678
222	5362	6661
223	5391	6642
224	5419	6624
225	5447	6604
226	5473	6583
227	5501	6562
228	5531	6546
229	5558	6525
230	5585	6504
231	5610	6481
232	5634	6456
233	5657	6431
234	5681	6406
235	5705	6381
236	5727	6355
237	5750	6330
238	5773	6305
239	5796	6279
240	5819	6254
241	5842	6229
242	5865	6203
243	5892	6182
244	5935	6178
245	5967	6161
246	5998	6144
247	6028	6125
248	6061	6110
249	6098	6098
250	6130	6081
251	6159	6061
252	6186	6039
253	6222	6026
254	6287	6040
255	6369	6070
256	6428	6077
257	6489	6087
258	6525	6072
259	6556	6052
260	6627	6068
261	6683	6070
262	6729	6064
263	6778	6059
264	6820	6048
265	6884	6056
266	6918	6037
267	6944	6011
268	7018	6027
269	7054	6009
270	7107	6006
271	7156	5998
272	7191	5979
273	7262	5990
274	7331	5998
275	7383	5992
276	7426	5978
277	7482	5975
278	7563	5991
279	7628	5993
280	7681	5987
281	7712	5962
282	7756	5947
283	7789	5924
284	7852	5923
285	7911	5919
286	7954	5903
287	7982	5875
288	8037	5867
289	8077	5849
290	8126	5836
291	8168	5818
292	8222	5808
293	8270	5794
294	8325	5785
295	8368	5767
296	8405	5745
297	8460	5734
298	8514	5723
299	8592	5728
300	8638	5710
301	8691	5698
302	8747	5687
303	8798	5672
304	8843	5653
305	8900	5642
306	8942	5621
307	8988	5603
308	9029	5581
309	9084	5567
310	9134	5551
311	9174	5527
312	9227	5512
313	9327	5525
314	9382	5510
315	9421	5485
316	9458	5460
317	9528	5453
318	9579	5435
319	9616	5409
320	9662	5387
321	9712	5369
322	9761	5349
323	9810	5329
324	9859	5309
325	9899	5283
326	9929	5253
327	9955	5220
328	10052	5224
329	10088	5197
330	10180	5197
331	10237	5180
332	10311	5171
333	10361	5149
334	10411	5128
