iter	Passed	Remaining
403	13671	3248
404	13697	3212
405	13720	3176
406	13743	3140
407	13770	3105
408	13796	3069
409	13824	3034
410	13849	2999
411	13875	2963
412	13903	2928
413	13936	2894
414	13965	2860
415	13992	2825
416	14017	2790
417	14045	2755
418	14073	2720
419	14102	2686
420	14130	2651
421	14163	2617
422	14191	2583
423	14220	2548
424	14247	2514
425	14275	2479
426	14302	2445
427	14327	2410
428	14352	2375
429	14376	2340
430	14401	2305
431	14426	2270
432	14451	2236
433	14476	2201
434	14500	2166
435	14527	2132
436	14551	2097
437	14574	2063
438	14598	2028
439	14623	1994
440	14647	1959
441	14672	1925
442	14697	1891
443	14722	1856
444	14746	1822
445	14770	1788
446	14794	1754
447	14819	1720
448	14845	1686
449	14870	1652
450	14895	1618
451	14921	1584
452	14945	1550
453	14970	1516
454	14994	1482
455	15017	1449
456	15041	1415
457	15064	1381
458	15088	1347
459	15112	1314
460	15136	1280
461	15159	1246
462	15183	1213
463	15207	1179
464	15232	1146
465	15261	1113
466	15287	1080
467	15313	1047
468	15340	1013
469	15367	980
470	15393	947
471	15420	914
472	15447	881
473	15475	848
474	15507	816
475	15571	785
476	15621	753
477	15659	720
478	15697	688
479	15723	655
480	15748	622
481	15773	589
482	15798	556
483	15824	523
484	15913	492
485	15944	459
486	15975	426
487	16018	393
488	16109	362
489	16154	329
490	16187	296
491	16219	263
492	16249	230
493	16284	197
494	16311	164
495	16338	131
496	16367	98
497	16393	65
498	16420	32
499	16446	0
