iter	Accuracy	Logloss
0	0.8306707794	0.6561603455
1	0.8522167488	0.6205972054
2	0.8507435201	0.5911179912
3	0.8457253349	0.5651671369
4	0.8453109894	0.542278098
5	0.8520786336	0.5211833835
6	0.8587081626	0.5026273287
7	0.8588002394	0.4854839707
8	0.8590764698	0.472600742
9	0.8597670457	0.4600415521
10	0.8599051609	0.4502933315
11	0.868053957	0.4302519403
12	0.8773997514	0.4134671902
13	0.884673818	0.3997991885
14	0.8880346209	0.3896618153
15	0.8890014272	0.3789360672
16	0.8899682335	0.3685441636
17	0.8898761567	0.3612987345
18	0.8906127711	0.3546136657
19	0.8910271166	0.3487833894
20	0.8911652318	0.3440832909
21	0.8914875006	0.3399701436
22	0.8916256158	0.3346379687
23	0.891763731	0.331366756
24	0.8921320381	0.326590933
25	0.8934211132	0.3198811851
26	0.8947101883	0.3141142202
27	0.895723033	0.309431996
28	0.8956769946	0.3062412782
29	0.8972883385	0.3024112549
30	0.8975645689	0.3004343668
31	0.8984392984	0.2976617852
32	0.900142719	0.2946955807
33	0.9011555637	0.291772523
34	0.903043138	0.2882869174
35	0.904562405	0.2851110851
36	0.9058975185	0.2821724129
37	0.9073247088	0.280235235
38	0.9093503982	0.278275563
39	0.9105934349	0.2765055919
40	0.9114681644	0.2744483088
41	0.9121587404	0.2725619193
42	0.9139081994	0.2707305991
43	0.9141844298	0.2680502605
44	0.9150591593	0.2666766818
45	0.9177754247	0.2638241525
46	0.9200773445	0.2602461175
47	0.9211362276	0.258012027
48	0.9224253027	0.2560007568
49	0.9236683394	0.2536883624
50	0.9238064546	0.2517035348
51	0.9245891073	0.2503011225
52	0.9252336449	0.2485210679
53	0.9257861056	0.2471683063
54	0.9259242208	0.245852812
55	0.9260162976	0.2448499195
56	0.9267989503	0.2438192575
57	0.9272593343	0.2421383504
58	0.9279499102	0.2410449164
59	0.928272179	0.2402742454
60	0.928502371	0.2396884139
61	0.9291929469	0.2386198898
62	0.9293771005	0.2379884744
63	0.9295152157	0.237136462
64	0.9298374845	0.2362542239
65	0.9298835229	0.2353239615
66	0.930712214	0.2343831044
67	0.9307582524	0.2337945013
68	0.930942406	0.2333370091
69	0.930942406	0.2327861713
70	0.9310344828	0.232122868
71	0.9312646747	0.231647822
72	0.9312186363	0.2313284955
73	0.9312646747	0.2307933451
74	0.9312646747	0.2306112465
75	0.9313567515	0.2301628656
76	0.9314488283	0.2297324755
77	0.9317250587	0.2289059047
78	0.9318171355	0.2282213028
79	0.9317710971	0.2276134431
80	0.9320473275	0.2271363616
81	0.9322775195	0.2267320375
82	0.9321854427	0.2263232379
83	0.932461673	0.2260528807
84	0.932691865	0.2250374422
85	0.9325997882	0.2248807078
86	0.9330141338	0.2244437171
87	0.9340269785	0.2236469821
88	0.9341190553	0.2230466662
89	0.9341650937	0.2226537519
90	0.9341650937	0.2224847428
91	0.9342571705	0.2223321144
92	0.9342111321	0.2221125928
93	0.9342111321	0.2213820481
94	0.9340269785	0.2209500813
95	0.9341190553	0.2206935133
96	0.9341190553	0.2202478716
97	0.9342111321	0.219915032
98	0.9343492473	0.2193952063
99	0.9343492473	0.2190928893
