iter	Passed	Remaining
0	45	4522
1	91	4480
2	135	4396
3	186	4467
4	243	4634
5	298	4679
6	355	4726
7	432	4974
8	492	4975
9	548	4939
10	602	4871
11	651	4779
12	702	4698
13	752	4620
14	801	4539
15	850	4465
16	911	4449
17	967	4409
18	1024	4367
19	1070	4283
20	1115	4197
21	1166	4135
22	1211	4057
23	1252	3966
24	1294	3884
25	1335	3802
26	1380	3731
27	1421	3656
28	1474	3609
29	1533	3578
30	1583	3524
31	1628	3459
32	1675	3402
33	1724	3346
34	1771	3290
35	1816	3228
36	1861	3168
37	1946	3176
38	2017	3155
39	2071	3106
40	2122	3054
41	2178	3008
42	2259	2994
43	2419	3079
44	2527	3088
45	2594	3045
46	2686	3029
47	2912	3155
48	2995	3117
49	3074	3074
50	3124	3001
51	3174	2929
52	3228	2862
53	3372	2873
54	3504	2867
55	3594	2824
56	3686	2781
57	3747	2713
58	3806	2644
59	3860	2573
60	3909	2499
61	3958	2426
62	4003	2351
63	4048	2277
64	4092	2203
65	4136	2130
66	4181	2059
67	4225	1988
68	4272	1919
69	4317	1850
70	4371	1785
71	4413	1716
72	4459	1649
73	4502	1582
74	4547	1515
75	4593	1450
76	4642	1386
77	4686	1321
78	4733	1258
79	4775	1193
80	4824	1131
81	4867	1068
82	4911	1006
83	4956	944
84	5003	883
85	5047	821
86	5091	760
87	5139	700
88	5187	641
89	5230	581
90	5279	522
91	5321	462
92	5367	404
93	5415	345
94	5435	286
95	5478	228
96	5524	170
97	5573	113
98	5616	56
99	5664	0
