iter	Passed	Remaining
0	20	10148
1	32	8213
2	58	9613
3	81	10078
4	105	10428
5	130	10711
6	151	10662
7	166	10251
8	189	10361
9	210	10304
10	229	10211
11	241	9829
12	266	9968
13	284	9863
14	308	9986
15	333	10091
16	357	10143
17	379	10162
18	402	10187
19	425	10205
20	447	10215
21	470	10225
22	493	10234
23	516	10242
24	532	10113
25	555	10124
26	578	10127
27	602	10160
28	618	10052
29	642	10060
30	668	10108
31	694	10156
32	720	10190
33	746	10230
34	764	10163
35	790	10183
36	814	10189
37	826	10044
38	851	10060
39	874	10054
40	897	10045
41	922	10057
42	945	10051
43	969	10047
44	988	9995
45	1012	9993
46	1037	10003
47	1062	10001
48	1085	9992
49	1108	9976
50	1123	9893
51	1133	9763
52	1155	9742
53	1179	9744
54	1203	9735
55	1225	9719
56	1241	9652
57	1262	9619
58	1280	9573
59	1304	9564
60	1331	9584
61	1356	9585
62	1381	9580
63	1404	9569
64	1424	9533
65	1448	9526
66	1473	9522
67	1497	9515
68	1516	9472
69	1545	9491
70	1570	9488
71	1590	9454
72	1614	9442
73	1637	9426
74	1663	9427
75	1687	9413
76	1710	9398
77	1733	9378
78	1757	9365
79	1781	9353
80	1790	9262
81	1815	9253
82	1839	9240
83	1847	9150
84	1873	9145
85	1896	9131
86	1920	9116
87	1944	9103
88	1960	9052
89	1972	8984
90	1996	8972
91	2020	8958
92	2045	8949
93	2069	8938
94	2085	8891
95	2109	8878
96	2126	8833
97	2151	8826
98	2176	8813
99	2201	8805
100	2226	8794
101	2250	8782
102	2277	8777
103	2301	8763
104	2325	8747
105	2348	8730
106	2372	8713
107	2397	8701
108	2422	8690
109	2448	8682
110	2473	8667
111	2498	8657
112	2522	8639
113	2542	8607
114	2566	8590
115	2590	8575
116	2615	8560
117	2630	8516
118	2656	8504
119	2679	8485
120	2704	8469
121	2728	8454
122	2752	8437
123	2777	8421
124	2807	8423
125	2835	8417
126	2865	8415
127	2891	8404
128	2916	8389
129	2943	8377
130	2968	8361
131	2993	8344
132	3018	8329
133	3042	8308
134	3068	8294
135	3094	8281
136	3121	8271
137	3147	8256
138	3173	8242
139	3194	8214
140	3221	8202
141	3245	8182
142	3270	8165
143	3295	8148
144	3320	8129
145	3344	8110
146	3368	8088
147	3391	8067
148	3416	8049
149	3440	8028
150	3465	8008
151	3488	7986
152	3512	7967
153	3537	7946
154	3545	7891
155	3569	7871
156	3592	7849
157	3616	7827
158	3641	7810
159	3667	7793
160	3679	7748
161	3704	7729
162	3727	7706
163	3751	7686
164	3776	7666
165	3800	7646
166	3826	7630
167	3847	7603
168	3870	7581
169	3895	7561
170	3919	7540
171	3932	7499
172	3956	7479
173	3980	7457
174	4004	7436
175	4028	7415
176	4053	7396
177	4080	7381
178	4103	7359
179	4128	7338
180	4152	7318
181	4176	7296
182	4199	7275
183	4224	7255
184	4250	7237
185	4275	7218
186	4299	7195
187	4314	7160
188	4337	7137
189	4361	7115
190	4384	7092
191	4406	7069
192	4429	7046
193	4452	7023
194	4475	7000
195	4500	6979
196	4522	6956
197	4547	6936
198	4572	6915
199	4595	6893
200	4620	6872
201	4646	6854
202	4670	6833
203	4693	6810
204	4718	6789
205	4741	6767
206	4766	6746
207	4790	6724
208	4813	6702
209	4838	6682
210	4863	6661
211	4887	6639
212	4910	6616
213	4933	6593
214	4958	6572
215	4983	6551
216	5008	6531
217	5033	6510
218	5057	6489
219	5081	6467
220	5106	6446
221	5131	6426
222	5158	6408
223	5184	6387
224	5209	6367
225	5233	6344
226	5258	6323
227	5281	6300
228	5305	6278
229	5329	6256
230	5355	6236
231	5378	6213
232	5402	6190
233	5426	6168
234	5451	6147
235	5476	6126
236	5503	6107
237	5526	6084
238	5550	6061
239	5574	6039
240	5599	6017
241	5623	5995
242	5646	5971
243	5671	5950
244	5695	5927
245	5720	5906
246	5744	5883
247	5767	5860
248	5803	5849
249	5837	5837
250	5867	5821
251	5901	5807
252	5933	5792
253	5957	5769
254	5980	5746
255	6004	5723
256	6031	5702
257	6057	5681
258	6081	5658
259	6150	5677
260	6245	5718
261	6323	5744
262	6370	5740
263	6420	5739
264	6476	5743
265	6536	5749
266	6591	5752
267	6678	5781
268	6723	5773
269	6774	5771
270	6828	5769
271	6866	5756
272	6955	5783
273	7010	5782
274	7071	5785
275	7120	5778
276	7162	5766
277	7223	5768
278	7261	5751
279	7292	5729
280	7353	5731
281	7423	5738
282	7461	5721
283	7515	5715
284	7544	5691
285	7605	5690
286	7650	5677
287	7691	5661
288	7728	5642
289	7788	5640
290	7834	5626
291	7861	5599
292	7933	5605
293	7968	5583
294	7994	5555
295	8087	5573
296	8141	5565
297	8186	5549
298	8262	5554
299	8348	5565
300	8388	5545
301	8447	5538
302	8524	5542
303	8574	5528
304	8684	5552
305	8748	5546
306	8821	5545
307	8848	5515
308	8888	5494
309	8958	5490
310	9006	5473
311	9054	5455
312	9099	5436
313	9125	5405
314	9152	5375
315	9199	5356
316	9247	5338
317	9295	5319
318	9328	5292
319	9364	5267
320	9389	5236
321	9425	5210
322	9471	5190
323	9511	5166
324	9550	5142
325	9591	5119
326	9643	5101
327	9710	5091
328	9778	5082
329	9833	5065
330	9863	5035
331	9921	5020
332	9981	5005
333	10024	4982
334	10070	4960
335	10116	4937
336	10162	4915
337	10198	4888
338	10224	4855
339	10291	4842
340	10347	4824
341	10393	4801
342	10420	4769
343	10450	4739
344	10500	4717
345	10559	4700
346	10589	4669
347	10645	4649
348	10714	4635
349	10903	4672
350	10937	4642
351	10971	4612
352	11012	4586
353	11042	4554
354	11072	4522
355	11100	4490
356	11130	4458
357	11156	4425
358	11179	4390
359	11205	4357
360	11228	4323
361	11257	4291
362	11283	4258
363	11308	4225
364	11332	4191
365	11355	4157
366	11379	4123
367	11404	4090
368	11428	4057
369	11452	4023
370	11477	3990
371	11500	3957
372	11524	3923
373	11548	3890
374	11572	3857
375	11597	3824
376	11621	3791
377	11646	3758
378	11670	3726
379	11694	3692
380	11717	3659
381	11741	3626
382	11764	3593
383	11788	3560
384	11811	3528
385	11835	3495
386	11859	3462
387	11882	3430
388	11906	3397
389	11930	3365
390	11954	3332
391	11981	3301
392	12005	3268
393	12031	3236
394	12056	3204
395	12080	3172
396	12103	3140
397	12127	3108
398	12151	3075
399	12175	3043
400	12198	3011
401	12222	2979
402	12248	2948
403	12273	2916
404	12297	2884
405	12321	2852
406	12344	2820
407	12369	2789
408	12394	2757
409	12417	2725
410	12442	2694
411	12466	2662
412	12490	2631
413	12514	2599
414	12539	2568
415	12562	2536
416	12586	2505
417	12611	2473
418	12635	2442
419	12658	2411
420	12683	2380
421	12707	2348
422	12731	2317
423	12755	2286
424	12779	2255
425	12806	2224
426	12833	2194
427	12859	2163
428	12887	2132
429	12915	2102
430	12944	2072
431	12971	2041
432	12997	2011
433	13023	1980
434	13048	1949
435	13073	1919
436	13116	1890
437	13143	1860
438	13177	1831
439	13206	1800
440	13236	1770
441	13270	1741
442	13304	1711
443	13333	1681
444	13359	1651
445	13386	1620
446	13412	1590
447	13440	1560
448	13465	1529
449	13490	1498
450	13515	1468
451	13539	1437
452	13563	1407
453	13586	1376
454	13612	1346
455	13635	1315
456	13658	1285
457	13682	1254
458	13706	1224
459	13730	1193
460	13753	1163
461	13780	1133
462	13807	1103
463	13833	1073
464	13859	1043
465	13886	1013
466	13913	983
467	13939	953
468	13962	922
469	13985	892
470	14008	862
471	14032	832
472	14055	802
473	14079	772
474	14102	742
475	14124	712
476	14148	682
477	14173	652
478	14200	622
479	14229	592
480	14255	563
481	14282	533
482	14308	503
483	14333	473
484	14356	444
485	14381	414
486	14404	384
487	14428	354
488	14451	325
489	14476	295
490	14501	265
491	14526	236
492	14550	206
493	14575	177
494	14602	147
495	14628	117
496	14653	88
497	14679	58
498	14705	29
499	14729	0
